panel	target_key	label	source	target_precision	rank	genome_id	species	genus	family	accession	score	risk_level	biosafety_flags	evidence
biosafety	biosafety:biosafety_level__bsl_1	biosafety_level__bsl_1	hybrid_esm2_bacformer	1.0	3	11158	Actinopolymorpha singaporensis	Actinopolymorpha	Actinopolymorphaceae	GCA_900104745	1.0	low		candidate_score
biosafety	biosafety:biosafety_level__bsl_1	biosafety_level__bsl_1	hybrid_esm2_bacformer	1.0	4	11159	Actinopolymorpha rutila	Actinopolymorpha	Actinopolymorphaceae	GCA_013407855	1.0	low		candidate_score
biosafety	biosafety:biosafety_level__bsl_1	biosafety_level__bsl_1	hybrid_esm2_bacformer	1.0	6	11161	Actinopolymorpha cephalotaxi	Actinopolymorpha	Actinopolymorphaceae	GCA_013408535	1.0	low		candidate_score
biosafety	biosafety:biosafety_level__bsl_1	biosafety_level__bsl_1	hybrid_esm2_bacformer	1.0	7	11162	Actinopolymorpha pittospori	Actinopolymorpha	Actinopolymorphaceae	GCA_014873875	1.0	low		candidate_score
biosafety	biosafety:biosafety_level__bsl_1	biosafety_level__bsl_1	hybrid_esm2_bacformer	1.0	9	1251	Neobacillus fumarioli	Neobacillus	Cytobacillaceae	GCA_001591485	1.0	low		candidate_score
biosafety	biosafety:amr_phenotype__gentamicin	amr_phenotype__gentamicin	bacformer	0.8	1	140643	Salinigranum salinum	Salinigranum	Haloferacaceae	GCA_009176545	1.0	unknown		candidate_score
biosafety	biosafety:amr_phenotype__nalidixic_acid	amr_phenotype__nalidixic_acid	hybrid_esm2_bacformer	0.8	1	1251	Neobacillus fumarioli	Neobacillus	Cytobacillaceae	GCA_001591485	1.0	low		candidate_score
biosafety	biosafety:amr_phenotype__gentamicin	amr_phenotype__gentamicin	bacformer	0.8	2	140941	Algoriphagus confluentis	Algoriphagus	Cyclobacteriaceae	GCA_036245625	1.0	unknown		candidate_score
biosafety	biosafety:amr_phenotype__nalidixic_acid	amr_phenotype__nalidixic_acid	hybrid_esm2_bacformer	0.8	2	132580	Microlunatus kandeliicorticis	Microlunatus	Propionibacteriaceae	GCA_014137855	1.0	low		candidate_score
biosafety	biosafety:amr_phenotype__gentamicin	amr_phenotype__gentamicin	bacformer	0.8	3	140954	Fodinibius salicampi	Fodinibius	Balneolaceae	GCA_039545095	1.0	unknown		candidate_score
biosafety	biosafety:amr_phenotype__gentamicin	amr_phenotype__gentamicin	bacformer	0.8	4	159759	Haloplanus salinarum	Haloplanus	Haloferacaceae	GCA_009762275	1.0	unknown		candidate_score
biosafety	biosafety:amr_phenotype__gentamicin	amr_phenotype__gentamicin	bacformer	0.8	5	163805	Haloplanus rubicundus	Haloplanus	Haloferacaceae	GCA_003342675	1.0	unknown		candidate_score
biosafety	biosafety:amr_phenotype__gentamicin	amr_phenotype__gentamicin	bacformer	0.8	6	164479	Algoriphagus formosus	Algoriphagus	Cyclobacteriaceae	GCA_004358035	1.0	unknown		candidate_score
biosafety	biosafety:amr_phenotype__gentamicin	amr_phenotype__gentamicin	bacformer	0.8	7	166207	Empedobacter tilapiae	Empedobacter	Weeksellaceae	GCA_004785645	1.0	unknown		candidate_score
biosafety	biosafety:amr_phenotype__nalidixic_acid	amr_phenotype__nalidixic_acid	hybrid_esm2_bacformer	0.8	7	140643	Salinigranum salinum	Salinigranum	Haloferacaceae	GCA_009176545	1.0	unknown		candidate_score
biosafety	biosafety:amr_phenotype__gentamicin	amr_phenotype__gentamicin	bacformer	0.8	8	166210	Ancylomarina salipaludis	Ancylomarina	Marinifilaceae	GCA_004122035	1.0	unknown		candidate_score
biosafety	biosafety:amr_phenotype__nalidixic_acid	amr_phenotype__nalidixic_acid	hybrid_esm2_bacformer	0.8	8	140931	Novosphingobium colocasiae	Novosphingobium	Erythrobacteraceae	GCA_014652555	1.0	unknown		candidate_score
biosafety	biosafety:amr_phenotype__gentamicin	amr_phenotype__gentamicin	bacformer	0.8	9	166298	Sandaracinomonas limnophila	Sandaracinomonas	Spirosomataceae	GCA_004005965	0.946206	unknown		candidate_score
biosafety	biosafety:amr_phenotype__nalidixic_acid	amr_phenotype__nalidixic_acid	hybrid_esm2_bacformer	0.8	9	140954	Fodinibius salicampi	Fodinibius	Balneolaceae	GCA_039545095	1.0	unknown		candidate_score
biosafety	biosafety:amr_phenotype__nalidixic_acid	amr_phenotype__nalidixic_acid	hybrid_esm2_bacformer	0.8	10	140972	Aureimonas endophytica	Aureimonas	Aurantimonadaceae	GCA_014642635	1.0	unknown		candidate_score
