panel	target_key	label	source	target_precision	rank	genome_id	species	genus	family	accession	score	risk_level	biosafety_flags	evidence
biofuels_industrial	biofuels_industrial:carbon_utilization__trehalose	carbon_utilization__trehalose	fusion:hybrid_esm2_bacformer	1.0	1	1268	Mesobacillus foraminis	Mesobacillus	Bacillaceae	GCA_004340465	1.0	moderate		eggNOG:1RM9G;eggNOG:1RMCX;eggNOG:1RMCG;eggNOG:1RK5N;eggNOG:1RMGJ
biosafety	biosafety:amr_phenotype__oxacillin	amr_phenotype__oxacillin	annotation	1.0	1	131334	Hymenobacter latericoloratus	Hymenobacter	Hymenobacteraceae	GCA_014199535	1.0	moderate		eggNOG:1RJMA;eggNOG:1RK1X;eggNOG:1RM7T;eggNOG:1RMH2;eggNOG:1RMID
biosafety	biosafety:biosafety_level__bsl_1	biosafety_level__bsl_1	hybrid_esm2_bacformer	1.0	1	10173	Nakamurella multipartita	Nakamurella	Nakamurellaceae	GCA_000024365	1.0	moderate		eggNOG:1RMV2;eggNOG:1RMDZ;eggNOG:1RN6V;eggNOG:1RJRA;eggNOG:1RJTG
biosafety	biosafety:gram_stain__negative	gram_stain__negative	fusion:hybrid_esm2_bacformer	1.0	1	10423	Nitratifractor salsuginis	Nitratifractor	Nautiliaceae	GCA_000186245	1.0	moderate		eggNOG:1RMCS;eggNOG:1RMHU;eggNOG:1RR0J;eggNOG:1RM8P;eggNOG:1RP3W
biosafety	biosafety:gram_stain__positive	gram_stain__positive	fusion:hybrid_esm2_bacformer	1.0	1	10173	Nakamurella multipartita	Nakamurella	Nakamurellaceae	GCA_000024365	1.0	moderate		eggNOG:1RMGZ;eggNOG:1RNAN;eggNOG:1RMI4;eggNOG:1RMHS;eggNOG:1RMFP
environmental_terraforming	environmental_terraforming:catalase_activity	catalase_activity	fusion:hybrid_esm2_bacformer	1.0	1	10173	Nakamurella multipartita	Nakamurella	Nakamurellaceae	GCA_000024365	1.0	moderate		eggNOG:1RMD7;eggNOG:1RM8M;eggNOG:1RM8P;eggNOG:1RMYV;eggNOG:1RJNQ
food_fermentation_agriculture	food_fermentation_agriculture:metabolite_production__acetate	metabolite_production__acetate	annotation	1.0	1	132618	Agathobaculum butyriciproducens	Agathobaculum	Oscillospiraceae	GCA_003096535	1.0	moderate		eggNOG:1RJ03;eggNOG:1RJ05;eggNOG:1RJ13;eggNOG:1RJ19;eggNOG:1RJ1Q
food_fermentation_agriculture	food_fermentation_agriculture:metabolite_production__butyrate	metabolite_production__butyrate	annotation	1.0	1	132618	Agathobaculum butyriciproducens	Agathobaculum	Oscillospiraceae	GCA_003096535	1.0	moderate		eggNOG:1RJ5B;eggNOG:1RJ6A;eggNOG:1RJ7D;eggNOG:1RJ8K;eggNOG:1RJ8P
food_fermentation_agriculture	food_fermentation_agriculture:metabolite_production__carbon_dioxide	metabolite_production__carbon_dioxide	annotation	1.0	1	14324	Gracilinema caldarium	Gracilinema	Caldilineaceae	GCA_000219725	1.0	moderate		eggNOG:1RIZT;eggNOG:1RJ05;eggNOG:1RJ13;eggNOG:1RJ19;eggNOG:1RJ1K
food_fermentation_agriculture	food_fermentation_agriculture:metabolite_production__dihydrogen	metabolite_production__dihydrogen	annotation	1.0	1	14324	Gracilinema caldarium	Gracilinema	Caldilineaceae	GCA_000219725	1.0	moderate		eggNOG:1RJ39;eggNOG:1RJ5B;eggNOG:1RJ7D;eggNOG:1RJ8K;eggNOG:1RJ8P

